"","DEP_ENT","MONTH","ets","arm","ets_arm_avg"
"1","160_155",2023 Jul,2561560.42549261,2564396.3,2562978.3627463
"2","160_155",2023 Aug,2561560.42549261,2564396.3,2562978.3627463
"3","160_155",2023 Sep,2561560.42549261,2564396.3,2562978.3627463
"4","160_155",2023 Oct,2561560.42549261,2564396.3,2562978.3627463
"5","160_155",2023 Nov,2561560.42549261,2564396.3,2562978.3627463
"6","160_155",2023 Dec,2561560.42549261,2564396.3,2562978.3627463
"7","200_155",2023 Jul,1810119.58743655,2326954.45761535,2068537.02252595
"8","200_155",2023 Aug,2036019.56193738,2143308.72840634,2089664.14517186
"9","200_155",2023 Sep,2261999.33392506,3748273.67948079,3005136.50670292
"10","200_155",2023 Oct,1445477.62223213,1469965.6738359,1457721.64803402
"11","200_155",2023 Nov,2417677.03054749,3977277.26693565,3197477.14874157
"12","200_155",2023 Dec,4181229.04515899,3367232.76228249,3774230.90372074
"13","200_310",2023 Jul,160615.031186328,186035.153544357,173325.092365343
"14","200_310",2023 Aug,156144.199459275,210893.669045796,183518.934252536
"15","200_310",2023 Sep,185786.369835017,315962.576324884,250874.47307995
"16","200_310",2023 Oct,122059.066315971,137035.916961539,129547.491638755
"17","200_310",2023 Nov,181289.325375314,289349.620592693,235319.472984003
"18","200_310",2023 Dec,319690.48880608,163021.371048316,241355.929927198
"19","210_155",2023 Jul,3739145.00143722,3943182.6853738,3841163.84340551
"20","210_155",2023 Aug,3900644.83413911,4553400.22719177,4227022.53066544
"21","210_155",2023 Sep,5515801.26971822,6029832.52968144,5772816.89969983
"22","210_155",2023 Oct,4109000.90722136,3879564.49562852,3994282.70142494
"23","210_155",2023 Nov,8401822.17199444,8513297.41881275,8457559.79540359
"24","210_155",2023 Dec,5320044.4724952,4402462.51703146,4861253.49476333
"25","210_165",2023 Jul,98046.4125607972,355917.404276939,226981.908418868
"26","210_165",2023 Aug,701369.89767617,509883.647017,605626.772346585
"27","210_165",2023 Sep,475809.835290667,342731.473949577,409270.654620122
"28","210_165",2023 Oct,511698.077780429,515528.227885234,513613.152832831
"29","210_165",2023 Nov,891717.060647461,629940.31215557,760828.686401515
"30","210_165",2023 Dec,478791.05496717,520142.370658981,499466.712813076
"31","210_310",2023 Jul,1014540.62974428,264086.739113551,639313.684428915
"32","210_310",2023 Aug,1014540.62974428,626976.193026706,820758.411385492
"33","210_310",2023 Sep,1014540.62974428,2694474.10463262,1854507.36718845
"34","210_310",2023 Oct,1014540.62974428,1919228.51160276,1466884.57067352
"35","210_310",2023 Nov,1014540.62974428,339864.243457146,677202.436600713
"36","210_310",2023 Dec,1014540.62974428,1136237.75055404,1075389.19014916
"37","220_155",2023 Jul,1116208.48244142,1674195.55940817,1395202.02092479
"38","220_155",2023 Aug,1116208.48244142,1553508.43301934,1334858.45773038
"39","220_155",2023 Sep,1116208.48244142,1246134.22046958,1181171.3514555
"40","220_155",2023 Oct,1116208.48244142,1246134.22046958,1181171.3514555
"41","220_155",2023 Nov,1116208.48244142,1246134.22046958,1181171.3514555
"42","220_155",2023 Dec,1116208.48244142,1246134.22046958,1181171.3514555
"43","250_155",2023 Jul,4657604.62474402,6380989.51790165,5519297.07132284
"44","250_155",2023 Aug,6696187.50028173,7491231.06627801,7093709.28327987
"45","250_155",2023 Sep,8260214.29046938,10782592.4141076,9521403.35228849
"46","250_155",2023 Oct,11677274.7888172,12395796.317566,12036535.5531916
"47","250_155",2023 Nov,9676879.44583128,11817931.7544514,10747405.6001414
"48","250_155",2023 Dec,4561962.75502497,6191258.31635181,5376610.53568839
"49","250_310",2023 Jul,311308.091543453,502817.731777173,407062.911660313
"50","250_310",2023 Aug,471340.961046521,311596.742612162,391468.851829342
"51","250_310",2023 Sep,418647.36230631,397473.610183607,408060.486244958
"52","250_310",2023 Oct,1288551.8858386,1630047.67034355,1459299.77809108
"53","250_310",2023 Nov,629185.297372417,709288.754382987,669237.025877702
"54","250_310",2023 Dec,289130.779139197,393733.073505356,341431.926322276
